% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	5324.58
0.042	1	2	2	5324.58
0.081	1	1	1	5324.57
0.082	1	2	2	5324.57
0.121	1	1	1	5324.57
0.122	1	2	2	5324.57
0.161	1	1	1	5324.57
0.162	1	2	2	5324.57
0.201	1	1	1	5324.57
0.202	1	2	2	5324.57
0.241	1	1	1	5324.57
0.242	1	2	2	5324.57
0.281	1	1	1	5324.57
0.282	1	2	2	5324.57
0.321	1	1	1	5324.57
0.322	1	2	2	5324.57
0.361	1	1	1	5324.57
0.362	1	2	2	5324.57
0.401	1	1	1	5324.57
0.402	1	2	2	5324.57
0.441	1	1	1	5324.57
0.442	1	2	2	5324.57
0.481	1	1	1	5324.57
0.482	1	2	2	5324.57
0.521	1	1	1	5324.57
0.522	1	2	2	5324.57
0.561	1	1	1	5324.57
0.562	1	2	2	5324.57
0.601	1	1	1	5324.57
0.602	1	2	2	5324.57
0.641	1	1	1	5324.57
0.642	1	2	2	5324.57
0.681	1	1	1	5324.57
0.682	1	2	2	5324.57
0.721	1	1	1	5324.57
0.722	1	2	2	5324.57
0.761	1	1	1	5324.57
0.762	1	2	2	5324.57
0.801	1	1	1	5324.57
0.802	1	2	2	5324.57
0.841	1	1	1	5324.57
0.842	1	2	2	5324.57
0.881	1	1	1	5324.57
0.882	1	2	2	5324.57
0.921	1	1	1	5324.57
0.922	1	2	2	5324.57
0.961	1	1	1	5324.57
0.962	1	2	2	5324.57
1.001	1	1	1	5324.57
1.002	1	2	2	5324.57
1.041	1	1	1	5324.57
1.042	1	2	2	5324.57
1.081	1	1	1	5324.57
1.082	1	2	2	5324.57
1.121	1	1	1	5324.57
1.122	1	2	2	5324.57
1.161	1	1	1	5324.57
1.162	1	2	2	5324.57
1.201	1	1	1	5324.57
1.202	1	2	2	5324.57
1.241	1	1	1	5324.57
1.242	1	2	2	5324.57
1.281	1	1	1	5324.57
1.282	1	2	2	5324.57
1.321	1	1	1	5324.57
1.322	1	2	2	5324.57
1.361	1	1	1	5324.57
1.362	1	2	2	5324.57
1.401	1	1	1	5324.57
1.402	1	2	2	5324.57
1.441	1	1	1	5324.57
1.442	1	2	2	5324.57
1.481	1	1	1	5324.57
1.482	1	2	2	5324.57
1.521	1	1	1	5324.57
1.522	1	2	2	5324.57
1.561	1	1	1	5324.57
1.562	1	2	2	5324.57
1.601	1	1	1	5324.57
1.602	1	2	2	5324.57
1.641	1	1	1	5324.57
1.642	1	2	2	5324.57
1.681	1	1	1	5324.57
1.682	1	2	2	5324.57
1.721	1	1	1	5324.57
1.722	1	2	2	5324.57
1.761	1	1	1	5324.57
1.762	1	2	2	5324.57
1.801	1	1	1	5324.57
1.802	1	2	2	5324.57
1.841	1	1	1	5324.57
1.842	1	2	2	5324.57
1.881	1	1	1	5324.57
1.882	1	2	2	5324.57
1.921	1	1	1	5324.57
1.922	1	2	2	5324.57
1.961	1	1	1	5324.57
1.962	1	2	2	5324.57
2.001	1	1	1	5324.57
2.002	1	2	2	5324.57
2.041	1	1	1	5324.57
2.042	1	2	2	5324.57
2.081	1	1	1	5324.57
2.082	1	2	2	5324.57
2.121	1	1	1	5324.57
2.122	1	2	2	5324.57
2.161	1	1	1	5324.57
2.162	1	2	2	5324.57
2.201	1	1	1	5324.57
2.202	1	2	2	5324.57
2.241	1	1	1	5324.57
2.242	1	2	2	5324.57
2.281	1	1	1	5324.57
2.282	1	2	2	5324.57
2.321	1	1	1	5324.57
2.322	1	2	2	5324.57
2.361	1	1	1	5324.57
2.362	1	2	2	5324.57
2.401	1	1	1	5324.57
2.402	1	2	2	5324.57
2.441	1	1	1	5324.57
2.442	1	2	2	5324.57
2.481	1	1	1	5324.57
2.482	1	2	2	5324.57
2.521	1	1	1	5324.57
2.522	1	2	2	5324.57
2.561	1	1	1	5324.57
2.562	1	2	2	5324.57
2.601	1	1	1	5324.57
2.602	1	2	2	5324.57
2.641	1	1	1	5324.57
2.642	1	2	2	5324.57
2.681	1	1	1	5324.57
2.682	1	2	2	5324.57
2.721	1	1	1	5324.57
2.722	1	2	2	5324.57
2.761	1	1	1	5324.57
2.762	1	2	2	5324.57
2.801	1	1	1	5324.57
2.802	1	2	2	5324.57
2.841	1	1	1	5324.57
2.842	1	2	2	5324.57
2.881	1	1	1	5324.57
2.882	1	2	2	5324.57
2.921	1	1	1	5324.57
2.922	1	2	2	5324.57
2.961	1	1	1	5324.57
2.962	1	2	2	5324.57
3.001	1	1	1	5324.57
3.002	1	2	2	5324.57
3.041	1	1	1	5324.57
3.042	1	2	2	5324.57
3.081	1	1	1	5324.57
3.082	1	2	2	5324.57
3.121	1	1	1	5324.57
3.122	1	2	2	5324.57
3.161	1	1	1	5324.57
3.162	1	2	2	5324.57
3.201	1	1	1	5324.57
3.202	1	2	2	5324.57
3.241	1	1	1	5324.57
3.242	1	2	2	5324.57
3.281	1	1	1	5324.57
3.282	1	2	2	5324.57
