#Time Node Cpu Memory Disk
1.2 1 204 907 3204
1.2 2 194 504 1922
2.2 1 218 903 3203
2.2 2 179 515 1927
3.2 1 201 884 3206
3.2 2 178 498 1924
4.2 1 199 874 3219
4.2 2 179 487 1913
5.2 1 192 868 3228
5.2 2 212 489 1917
6.2 1 194 869 3216
6.2 2 213 485 1915
7.2 1 203 877 3219
7.2 2 225 487 1918
8.2 1 215 872 3218
8.2 2 211 484 1929
9.2 1 223 863 3211
9.2 2 236 491 1925
10.2 1 218 863 3210
10.2 2 231 501 1916
11.2 1 219 854 3216
11.2 2 257 499 1932
12.2 1 225 855 3224
12.2 2 271 503 1924
13.2 1 230 866 3223
13.2 2 276 494 1915
14.2 1 242 871 3213
14.2 2 275 506 1925
